RegionCode,RegionName,CountryCode,CountryName,Year,Sex,SuicideCount,CauseSpecificDeathPercentage,StdDeathRate,DeathRatePer100K,Population,GDP,GDPPerCapita,GNI,GNIPerCapita,InflationRate,EmploymentPopulationRatio,InflationRate_Log,IncomeGroup,GDPPerCapita_Growth,GDPPerCapita_Growth_Lag1,GDPPerCapita_Growth_Lag3,GDPPerCapita_Growth_Lag5,InflationRate_Log_Lag1,InflationRate_Log_Lag3,InflationRate_Log_Lag5,EmploymentPopulationRatio_Lag1,EmploymentPopulationRatio_Lag3,EmploymentPopulationRatio_Lag5,GDPPerCapita_Scaled,GNIPerCapita_Scaled,InflationRate_Log_Scaled,EmploymentPopulationRatio_Scaled
EU,Europe,HUN,Hungary,2011,Male,1847,2.89122302,30.73859691,38.98423175,9971727.0,142000000000.0,14234.47158,132000000000.0,21910.0,3.929920989,45.008,2.7447046851377404,High-Income,7.694092120838003,1.0720796445538694,13.137025449461937,2.3714880214588785,2.8024906159221237,2.872015966371476,2.744730716195302,44.761,46.18,46.899,-0.16412341225410076,-0.007910362764235998,-0.15501074394779626,-1.3733392343843007
EU,Europe,HUN,Hungary,2012,Male,1803,2.83919123,29.508972,38.19664791,9920362.0,129000000000.0,12984.83657,130000000000.0,22280.0,5.652145171,45.715,2.849679519482685,High-Income,-8.77893501684872,7.694092120838003,-17.087041650348223,21.335440385721217,2.7447046851377404,2.762652576331006,2.974960135008626,45.008,44.957,46.727,-0.22939613530703357,0.012153695804984783,0.029521523886081903,-1.2833342399356777
EU,Europe,HUN,Hungary,2013,Male,1588,2.5656768,25.48551626,33.71784702,9893082.0,136000000000.0,13715.07036,134000000000.0,23830.0,1.73319985,46.615,2.592511919848414,High-Income,5.623742632904016,-8.77893501684872,1.0720796445538694,13.137025449461937,2.849679519482685,2.8024906159221237,2.872015966371476,45.715,44.761,46.18,-0.19125351961754236,0.09620583305442319,-0.4225460661228586,-1.1687592823631736
EU,Europe,HUN,Hungary,2014,Male,1480,2.38740483,23.89533365,31.49214239,9866468.0,141000000000.0,14294.25842,134000000000.0,24530.0,-0.227566271,49.283,2.433835338567381,High-Income,4.223004656900642,5.623742632904016,7.694092120838003,-17.087041650348223,2.592511919848414,2.7447046851377404,2.762652576331006,46.615,45.008,44.957,-0.16100054052091362,0.13416486277997602,-0.7014791035373237,-0.8291081859149051
EU,Europe,HUN,Hungary,2015,Male,1391,2.18899992,22.56896218,29.64526489,9843028.0,125000000000.0,12717.0386,130000000000.0,25520.0,-0.06164468,50.785,2.4482817794508915,High-Income,-11.033939457770071,4.223004656900642,-8.77893501684872,1.0720796445538694,2.433835338567381,2.849679519482685,2.8024906159221237,49.283,45.715,44.761,-0.243384141877006,0.18784977624897217,-0.6760841170627331,-0.6378953122772373
EU,Europe,HUN,Hungary,2016,Male,1317,2.10188643,20.87665666,28.12957546,9814023.0,129000000000.0,13104.69955,129000000000.0,27190.0,0.394769307,52.606,2.486976711314784,High-Income,3.0483586799838758,-11.033939457770071,5.623742632904016,7.694092120838003,2.4482817794508915,2.592511919848414,2.7447046851377404,50.785,46.615,45.008,-0.2231352807093065,0.2784091757370768,-0.6080633997634034,-0.4060719814555361
EU,Europe,HUN,Hungary,2017,Male,1241,1.93830535,20.04899128,26.55427852,9787966.0,143000000000.0,14621.2396,129000000000.0,28300.0,2.348242812,53.711,2.6375089866936325,High-Income,11.572490038506844,3.0483586799838758,4.223004656900642,-8.77893501684872,2.486976711314784,2.433835338567381,2.849679519482685,52.606,49.283,45.715,-0.14392119188321723,0.33860135144473913,-0.34344700545145984,-0.26539939465818385
EU,Europe,HUN,Hungary,2018,Male,1276,1.99325169,20.13722972,27.30163947,9775564.0,161000000000.0,16425.20503,146000000000.0,30660.0,2.850247926,54.417,2.6727922185796724,High-Income,12.337978716934517,11.572490038506844,-11.033939457770071,5.623742632904016,2.6375089866936325,2.4482817794508915,2.592511919848414,53.711,50.785,46.615,-0.049693889537186724,0.46657750880517435,-0.2814236182552018,-0.17552170571797449
EU,Europe,HUN,Hungary,2019,Male,1158,1.84268733,18.12754182,24.75254932,9771141.0,164000000000.0,16786.21364,162000000000.0,33730.0,3.338586354,54.927,2.7059602529478797,High-Income,2.1978940861963725,12.337978716934517,3.0483586799838758,4.223004656900642,2.6727922185796724,2.486976711314784,2.433835338567381,54.417,52.606,49.283,-0.03083717151017316,0.6330549677443846,-0.2231184764585951,-0.11059589642688891
EU,Europe,HUN,Hungary,2022,Male,1257,1.88317428,19.81253846,27.46860723,9643048.0,177000000000.0,18390.185,183000000000.0,40450.0,14.60814395,58.227,3.267217930960317,High-Income,9.555289801494492,2.1978940861963725,11.572490038506844,-11.033939457770071,2.7059602529478797,2.6375089866936325,2.4482817794508915,54.927,53.711,50.785,0.052943754542879674,0.9974616531096918,0.7635003909023457,0.30951228133896014
